system:index,NDVI,region,year
0_0,4767.371841,Tundra,2000
0_1,6214.965812,Eurasia,2000
0_2,4534.02216,North America,2000
1_0,4831.684491,Tundra,2001
1_1,6230.519695,Eurasia,2001
1_2,4611.129162,North America,2001
2_0,4828.885127,Tundra,2002
2_1,6263.674795,Eurasia,2002
2_2,4629.377636,North America,2002
3_0,4888.6617,Tundra,2003
3_1,6303.662245,Eurasia,2003
3_2,4679.225992,North America,2003
4_0,5007.904584,Tundra,2004
4_1,6293.598428,Eurasia,2004
4_2,4861.628543,North America,2004
5_0,4806.431096,Tundra,2005
5_1,6250.040765,Eurasia,2005
5_2,4524.519448,North America,2005
6_0,4923.730404,Tundra,2006
6_1,6375.825234,Eurasia,2006
6_2,4613.500981,North America,2006
7_0,4942.567755,Tundra,2007
7_1,6406.463958,Eurasia,2007
7_2,4711.371362,North America,2007
8_0,4989.579417,Tundra,2008
8_1,6352.133525,Eurasia,2008
8_2,4762.516217,North America,2008
9_0,4964.211761,Tundra,2009
9_1,6371.181796,Eurasia,2009
9_2,4739.913525,North America,2009
10_0,4859.923618,Tundra,2010
10_1,6305.268799,Eurasia,2010
10_2,4588.528474,North America,2010
11_0,4986.549651,Tundra,2011
11_1,6373.045857,Eurasia,2011
11_2,4732.124449,North America,2011
12_0,5027.550951,Tundra,2012
12_1,6437.407956,Eurasia,2012
12_2,4735.390156,North America,2012
13_0,5129.507346,Tundra,2013
13_1,6328.41703,Eurasia,2013
13_2,4999.691682,North America,2013
14_0,4958.037444,Tundra,2014
14_1,6355.928368,Eurasia,2014
14_2,4820.424165,North America,2014
15_0,5132.234369,Tundra,2015
15_1,6514.813286,Eurasia,2015
15_2,4865.172778,North America,2015
16_0,4963.12205,Tundra,2016
16_1,6420.290114,Eurasia,2016
16_2,4767.736437,North America,2016
17_0,5202.115402,Tundra,2017
17_1,6553.719128,Eurasia,2017
17_2,5069.821867,North America,2017
18_0,5338.007701,Tundra,2018
18_1,6543.500596,Eurasia,2018
18_2,5283.042102,North America,2018