DayOfYear,DetailedQA,EVI,NDVI,SummaryQA,class,year,month,day,ele,id,long,lat,res,res_class,site_name,study,study_class,sub_name,ndvi,ndvi2
1,NA,NA,NA,NA,NA,2000,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2001,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2002,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2003,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2004,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2005,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2006,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2007,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2008,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2009,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2010,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2011,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2012,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2013,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2014,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2015,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2016,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
1,NA,NA,NA,NA,NA,2017,1,1,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2000,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2001,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2002,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2003,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2004,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2005,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2006,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2007,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2008,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2009,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2010,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2011,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2012,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2013,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2014,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2015,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2016,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0
365,NA,NA,NA,NA,NA,2017,12,31,74,i36,-138.865,69.58,site,1,QHI,itex,1,NA,0,0