data,year,id,date,longitude,latitude,vegType,time,NDVI
Landsat,2016,20160804,date4Aug2016,-138.896566,69.57177889,Shrub,1.47E+12,0.685608029
Landsat,2016,20160804,date4Aug2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.64462769
Landsat,2016,20160804,date4Aug2016,-138.896027,69.57177889,Shrub,1.47E+12,0.64462769
Landsat,2016,20160804,date4Aug2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.593092382
Landsat,2016,20160804,date4Aug2016,-138.8995304,69.58606211,Komakuk,1.47E+12,0.581120193
Landsat,2016,20160804,date4Aug2016,-138.8992609,69.58606211,Komakuk,1.47E+12,0.581120193
Landsat,2016,20160804,date4Aug2016,-138.9213595,69.59010453,Herschel,1.47E+12,0.559749901
Landsat,2016,20160804,date4Aug2016,-138.92109,69.59010453,Herschel,1.47E+12,0.559749901
Landsat,2016,20160804,date4Aug2016,-138.9208205,69.59010453,Herschel,1.47E+12,0.5522964
MODIS,2016,2016_07_19,date19Jul2016,-138.896566,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.896027,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.8995304,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.8992609,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.9213595,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_07_19,date19Jul2016,-138.92109,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_07_19,date19Jul2016,-138.9208205,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_08_04,date4Aug2016,-138.896566,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.896027,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.7082
MODIS,2016,2016_08_04,date4Aug2016,-138.8995304,69.58606211,Komakuk,1.47E+12,0.7082
MODIS,2016,2016_08_04,date4Aug2016,-138.8992609,69.58606211,Komakuk,1.47E+12,0.7082
MODIS,2016,2016_08_04,date4Aug2016,-138.9213595,69.59010453,Herschel,1.47E+12,0.6688
MODIS,2016,2016_08_04,date4Aug2016,-138.92109,69.59010453,Herschel,1.47E+12,0.6688
MODIS,2016,2016_08_04,date4Aug2016,-138.9208205,69.59010453,Herschel,1.47E+12,0.6688
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.57177889,-138.896566,Shrub,1.47E+12,0.659688995
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.57177889,-138.8962965,Shrub,1.47E+12,0.659688995
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.57177889,-138.896027,Shrub,1.47E+12,0.640463132
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.58606211,-138.8997999,Komakuk,1.47E+12,0.540625897
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.58606211,-138.8995304,Komakuk,1.47E+12,0.540625897
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.58606211,-138.8992609,Komakuk,1.47E+12,0.536823936
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.59010453,-138.9213595,Herschel,1.47E+12,0.481500514
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.59010453,-138.92109,Herschel,1.47E+12,0.481500514
Sentinel,2016,20160713T210547_20160714T001735_T07WET,date13Jul2016,69.59010453,-138.9208205,Herschel,1.47E+12,0.477835052
MODIS,2017,2017_07_20,date20Jul2017,-138.896566,69.57177889,Shrub,1.50E+12,0.3883
MODIS,2017,2017_07_20,date20Jul2017,-138.8962965,69.57177889,Shrub,1.50E+12,0.3883
MODIS,2017,2017_07_20,date20Jul2017,-138.896027,69.57177889,Shrub,1.50E+12,0.3883
MODIS,2017,2017_07_20,date20Jul2017,-138.8997999,69.58606211,Komakuk,1.50E+12,0.7341
MODIS,2017,2017_07_20,date20Jul2017,-138.8995304,69.58606211,Komakuk,1.50E+12,0.7341
MODIS,2017,2017_07_20,date20Jul2017,-138.8992609,69.58606211,Komakuk,1.50E+12,0.7341
MODIS,2017,2017_07_20,date20Jul2017,-138.9213595,69.59010453,Herschel,1.50E+12,0.7034
MODIS,2017,2017_07_20,date20Jul2017,-138.92109,69.59010453,Herschel,1.50E+12,0.7034
MODIS,2017,2017_07_20,date20Jul2017,-138.9208205,69.59010453,Herschel,1.50E+12,0.7034
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.59010453,-138.9208205,Shrub,1.50E+12,0.521627188
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.59010453,-138.9213595,Shrub,1.50E+12,0.523544304
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.59010453,-138.92109,Shrub,1.50E+12,0.523544304
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.58606211,-138.8992609,Komakuk,1.50E+12,0.572528123
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.58606211,-138.8997999,Komakuk,1.50E+12,0.57410662
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.58606211,-138.8995304,Komakuk,1.50E+12,0.57410662
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.57177889,-138.896027,Herschel,1.50E+12,0.681467181
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.57177889,-138.896566,Herschel,1.50E+12,0.710664606
Sentinel,2017,20170717T213531_20170717T213530_T07WET,date17Jul2017,69.57177889,-138.8962965,Herschel,1.50E+12,0.710664606
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.59010453,-138.9208205,Shrub,1.50E+12,0.331367925
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.59010453,-138.9213595,Shrub,1.50E+12,0.342979417
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.59010453,-138.92109,Shrub,1.50E+12,0.342979417
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.58606211,-138.8997999,Komakuk,1.50E+12,0.37780523
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.58606211,-138.8995304,Komakuk,1.50E+12,0.37780523
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.58606211,-138.8992609,Komakuk,1.50E+12,0.393688792
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.57177889,-138.896027,Herschel,1.50E+12,0.601150527
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.57177889,-138.896566,Herschel,1.50E+12,0.623195156
Sentinel,2017,20170718T210021_20170718T210022_T07WET,date18Jul2017,69.57177889,-138.8962965,Herschel,1.50E+12,0.623195156
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.59010453,-138.9208205,Shrub,1.50E+12,0.510397473
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.59010453,-138.9213595,Shrub,1.50E+12,0.514077164
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.59010453,-138.92109,Shrub,1.50E+12,0.514077164
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.58606211,-138.8997999,Komakuk,1.50E+12,0.558174675
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.58606211,-138.8995304,Komakuk,1.50E+12,0.558174675
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.58606211,-138.8992609,Komakuk,1.50E+12,0.562632696
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.57177889,-138.896027,Herschel,1.50E+12,0.667765326
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.57177889,-138.896566,Herschel,1.50E+12,0.679769895
Sentinel,2017,20170719T212519_20170719T212522_T07WET,date19Jul2017,69.57177889,-138.8962965,Herschel,1.50E+12,0.679769895
Landsat,2017,20170720,date20Jul2017,69.57177889,-138.896566,Herschel,1.50051E+12,0.194257766
Landsat,2017,20170720,date20Jul2017,69.57177889,-138.8962965,Herschel,1.50051E+12,0.183133423
Landsat,2017,20170720,date20Jul2017,69.57177889,-138.896027,Herschel,1.50051E+12,0.183133423
Landsat,2017,20170720,date20Jul2017,69.58606211,-138.8997999,Komakuk,1.50051E+12,0.156647563
Landsat,2017,20170720,date20Jul2017,69.58606211,-138.8995304,Komakuk,1.50051E+12,0.151873365
Landsat,2017,20170720,date20Jul2017,69.58606211,-138.8992609,Komakuk,1.50051E+12,0.151873365
Landsat,2017,20170720,date20Jul2017,69.59010453,-138.9213595,Shrub,1.50051E+12,0.219733536
Landsat,2017,20170720,date20Jul2017,69.59010453,-138.92109,Shrub,1.50051E+12,0.219733536
Landsat,2017,20170720,date20Jul2017,69.59010453,-138.9208205,Shrub,1.50051E+12,0.200607613
Landsat,2017,20170728,date28Jul2017,69.57177889,-138.896566,Herschel,1.5012E+12,0.700532675
Landsat,2017,20170728,date28Jul2017,69.57177889,-138.8962965,Herschel,1.5012E+12,0.700532675
Landsat,2017,20170728,date28Jul2017,69.57177889,-138.896027,Herschel,1.5012E+12,0.672632098
Landsat,2017,20170728,date28Jul2017,69.58606211,-138.8997999,Komakuk,1.5012E+12,0.031717528
Landsat,2017,20170728,date28Jul2017,69.58606211,-138.8995304,Komakuk,1.5012E+12,0.024407657
Landsat,2017,20170728,date28Jul2017,69.58606211,-138.8992609,Komakuk,1.5012E+12,0.024407657
Landsat,2017,20170728,date28Jul2017,69.59010453,-138.9213595,Shrub,1.5012E+12,0.036548268
Landsat,2017,20170728,date28Jul2017,69.59010453,-138.92109,Shrub,1.5012E+12,0.036548268
Landsat,2017,20170728,date28Jul2017,69.59010453,-138.9208205,Shrub,1.5012E+12,0.050961919